Kind,Kind2,Kind3,Kind4,Common Name,Common name2,Common name3,Common Name Common name2 Common name3,Bi or Trinomial Name,Sp Short Name,Kingdom,Phylum,Class,Order,Infraorder,Clade,Sub Order,Superfamily,Family,Sub family,Tribe,Genus,Sub Genus,Species,Sub species 1,Sub Species 2,Prior binomial name,Kind > Kind2 Kind3,"Genus > Species > 
 > Sub species 1","Common Name
 > Bi or Trinomial Name",Code1,Code2,Code3,,,,,,,,Original Order
Amphibian,Frog,,,Poison Dart Frog - Bumblebee,Bumblebee Poison Dart Frog,Bumblebee Poison Dart Frog,Poison Dart Frog - Bumblebee Bumblebee Poison Dart Frog Bumblebee Poison Dart Frog,"Dendrobates leucomelas sp. ""Bumblebee""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,leucomelas,"""Bumblebee""",,,Amphibian > Frog,"Dendrobates > leucomelas > 
 > ""Bumblebee""","Poison Dart Frog - Bumblebee
 > Dendrobates leucomelas sp. ""Bumblebee""",AMFRO,PDBMB,,,,,,,,,10
Amphibian,Frog,,,Poison Dart Frog - Yellow Banded,Yellow-Banded Poison Dart Frog,Yellow-Banded Poison Dart Frog,Poison Dart Frog - Yellow Banded Yellow-Banded Poison Dart Frog Yellow-Banded Poison Dart Frog,"Dendrobates leucomelas sp. ""Yellow Banded""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,leucomelas,"""Yellow Banded""",,,Amphibian > Frog,"Dendrobates > leucomelas > 
 > ""Yellow Banded""","Poison Dart Frog - Yellow Banded
 > Dendrobates leucomelas sp. ""Yellow Banded""",AMFRO,PDYLB,,,,,,,,,11
Amphibian,Frog,,,Poison Dart Frog - Blue,Poison Dart Frog - Blue ,Blue Poison Arrow Frog,Poison Dart Frog - Blue Poison Dart Frog - Blue  Blue Poison Arrow Frog,"Dendrobates tinctorius  sp. ""Azureus""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Azureus""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Azureus""","Poison Dart Frog - Blue
 > Dendrobates tinctorius sp. ""Azureus""",AMFRO,PDBLU,,,,,,,,,12
Amphibian,Frog,,,Poison Dart Frog - Azerus Blue,Azures Blue Poison Dart Frog,Azures blue poison dart frog,Poison Dart Frog - Azerus Blue Azures Blue Poison Dart Frog Azures blue poison dart frog,"Dendrobates tinctorius  sp. ""Azureus""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Azureus""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Azureus""","Poison Dart Frog - Azerus Blue
 > Dendrobates tinctorius sp. ""Azureus""",AMFRO,PDAZB,,,,,,,,,13
Amphibian,Frog,,,Poison Dart Frog - Tumucumaque,Tumucumaque Poison Dart Frog,Tumucumaque poison dart frog,Poison Dart Frog - Tumucumaque Tumucumaque Poison Dart Frog Tumucumaque poison dart frog,"Dendrobates tinctorius  sp. ""Tumucumaque""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Tumucumaque""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Tumucumaque""","Poison Dart Frog - Tumucumaque
 > Dendrobates tinctorius sp. ""Tumucumaque""",AMFRO,PDTUM,,,,,,,,,14
Amphibian,Frog,,,Poison Dart Frog - Dyeing,Dyeing Poison Dart Frog,,Poison Dart Frog - Dyeing Dyeing Poison Dart Frog ,"Dendrobates tinctorius sp. ""Dyeing""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,tinctorius,"""Dyeing""",,,Amphibian > Frog,"Dendrobates > tinctorius > 
 > ""Dyeing""","Poison Dart Frog - Dyeing
 > Dendrobates tinctorius sp. ""Dyeing""",AMFRO,PDDYE,,,,,,,,,15
Amphibian,Frog,,,Poison Dart Frog - Arawape Blue,Awarape Blue Poison Dart Frog ,Dyeing Poison Dart Frog - Awarape Blue ,Poison Dart Frog - Arawape Blue Awarape Blue Poison Dart Frog  Dyeing Poison Dart Frog - Awarape Blue ,"Dendrobates tinctorius sp. ""Awarape Blue""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Arawape Blue
 > Dendrobates tinctorius sp. ""Awarape Blue""",AMFRO,PDARB,,,,,,,,,16
Amphibian,Frog,,,Poison Dart Frog - Blessed,Blessed Poison Dart Frog,Blessed Poison Dart Frog,Poison Dart Frog - Blessed Blessed Poison Dart Frog Blessed Poison Dart Frog,Ranitomeya benedicta,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Blessed
 > Ranitomeya benedicta",AMFRO,PDBLS,,,,,,,,,17
Amphibian,Frog,,,Poison Dart Frog - Spotted,Spotted Poison Dart Frog,Spotted Poison Dart Frog,Poison Dart Frog - Spotted Spotted Poison Dart Frog Spotted Poison Dart Frog,Ranitomeya vanzolinii,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,,,,,Amphibian > Frog,Dendrobates >,"Poison Dart Frog - Spotted
 > Ranitomeya vanzolinii",AMFRO,PDSPT,,,,,,,,,18
Amphibian,Frog,,,Malayan Horned Frog,,,Malayan Horned Frog  ,Megophrys nasuta,,Animalia,Chordata,Amphibia,Anura,,,,,Megophryidae,,,Megophrys,,nasuta,,,,Amphibian > Frog,Megophrys > nasuta,"Malayan Horned Frog
 > Megophrys nasuta",AMFRO,MYHOR,,,,,,,,,19
Amphibian,Frog,,,African Bull Frog,Pixie Frog,,African Bull Frog Pixie Frog ,Pyxicephalus adspersus,P. adspersus,Animalia,Chordata,Amphibia,Anura,,,,,Pyxicephalidae,,,Pyxicephalus,,adspersus,,,,Amphibian > Frog,Pyxicephalus > adspersus,"African Bull Frog
 > Pyxicephalus adspersus",AMFRO,AFBLL,,,,,,,,,20
Amphibian,Frog,,,Vietnamese Mossy Frog,Mossy frog,,Vietnamese Mossy Frog Mossy frog ,Theloderma corticale,T. corticale,Animalia,Chordata,Amphibia,Anura,,,,,Rhacophoridae,,,Theloderma,,corticale,,,,Amphibian > Frog,Theloderma > corticale,"Vietnamese Mossy Frog
 > Theloderma corticale",AMFRO,VIMOS,,,,,,,,,21
Amphibian,Frog,,,Red-Eyed Tree Frog,,,Red-Eyed Tree Frog  ,Agalychnis callidryas,,Animalia,Chordata,Amphibia,Anura,,,,,,,,Agalychnis,,callidryas,,,,Amphibian > Frog,Agalychnis > callidryas,"Red-Eyed Tree Frog
 > Agalychnis callidryas",AMFRO,RDTRE,,,,,,,,,22
Amphibian,Frog,,,Banded Bullfrog / Chubby Frog,,,Banded Bullfrog / Chubby Frog  ,Kaloula pulchra,,Animalia,Chordata,Amphibia,,,,,,,,,,,,,,,Amphibian > Frog,>,"Banded Bullfrog / Chubby Frog
 > Kaloula pulchra",AMFRO,CHUBY,,,,,,,,,23
Amphibian,Newt,,,Black Knobby Newt,,,Black Knobby Newt  ,Tylototriton asperrimus,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,,,,,,,Amphibian > Newt,>,"Black Knobby Newt
 > Tylototriton asperrimus",AMNEW,BKNWT,,,,,,,,,24
Amphibian,Newt,,,Chiang Mai Crocodile Newt,,,Chiang Mai Crocodile Newt  ,Tylototriton uyenoi,T. uyenoi,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Tylototriton,,uyenoi,,,,Amphibian > Newt,Tylototriton > uyenoi,"Chiang Mai Crocodile Newt
 > Tylototriton uyenoi",AMNEW,CRNWT,,,,,,,,,25
Amphibian,Newt,,,Japanese Sword-Tail Newt - Brown,,,Japanese Sword-Tail Newt - Brown  ,Cynops ensicauda,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Cynops,,̌ensicauda,,,,Amphibian > Newt,Cynops > ̌ensicauda,"Japanese Sword-Tail Newt - Brown
 > Cynops ensicauda",AMNEW,STNWT,,,,,,,,,26
Amphibian,Newt,,,Japanese Sword-Tail Newt - Gold Dust,,,Japanese Sword-Tail Newt - Gold Dust  ,Cynops ensicauda popei,,Animalia,Chordata,Amphibia,Urodela,,,,,Salamandridae,,,Cynops,,̌ensicauda,popei,,,Amphibian > Newt,"Cynops > ̌ensicauda > 
 > popei","Japanese Sword-Tail Newt - Gold Dust
 > Cynops ensicauda popei",AMNEW,GDNWT,,,,,,,,,27
Amphibian,Salamander,,,Giant Salamander*,,,Giant Salamander*  ,Andrias sp.,,Animalia,Chordata,Amphibia,,,,,,,,,,,,,,,Amphibian > Salamander,>,"Giant Salamander*
 > Andrias sp.",AMSAL,GSALA,,,,,,,,,28
Amphibian,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Arachnid,Tarantula,,,Tarantula*,,,Tarantula*  ,*,*,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,*,,,*,,*,,,,Arachnid > Tarantula,* > *,"Tarantula*
 > *",ARTAR,TARNT,,,,,,,,,30
Arachnid,Tarantula,,,Costa Rican Zebra Tarantula,Striped-Knee Tarantula,,Costa Rican Zebra Tarantula Striped-Knee Tarantula ,Aphonopelma seemanni,A. seemanni,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Aphonopelma,,seemanni,,,,Arachnid > Tarantula,Aphonopelma > seemanni,"Costa Rican Zebra Tarantula
 > Aphonopelma seemanni",ARTAR,COZEB,,,,,,,,,31
Arachnid,Tarantula,,,Mexican Fire Leg Tarantula,,,Mexican Fire Leg Tarantula  ,Brachypelma boehmei,B. boehmei,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Brachypelma,,boehmei,,,,Arachnid > Tarantula,Brachypelma > boehmei,"Mexican Fire Leg Tarantula
 > Brachypelma boehmei",ARTAR,MXFLG,,,,,,,,,32
Arachnid,Tarantula,,,Mexican Redknee Tarantula,,,Mexican Redknee Tarantula  ,Brachypelma smithi,B. smithi,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Brachypelma,,smithi,,,,Arachnid > Tarantula,Brachypelma > smithi,"Mexican Redknee Tarantula
 > Brachypelma smithi",ARTAR,MXRKN,,,,,,,,,33
Arachnid,Tarantula,,,Cobalt Blue Tarantula,,,Cobalt Blue Tarantula  ,Cyriopagopus lividus,C. lividus,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Cyriopagopus,,lividus,,,,Arachnid > Tarantula,Cyriopagopus > lividus,"Cobalt Blue Tarantula
 > Cyriopagopus lividus",ARTAR,COBLT,,,,,,,,,34
Arachnid,Tarantula,,,Thailand Black Tarantula,,,Thailand Black Tarantula  ,Cyriopagopus minax,C. minax,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Cyriopagopus,,minax,,,,Arachnid > Tarantula,Cyriopagopus > minax,"Thailand Black Tarantula
 > Cyriopagopus minax",ARTAR,THABL,,,,,,,,,35
Arachnid,Tarantula,,,Chaco Golden knee tarantula,,,Chaco Golden knee tarantula  ,Grammostola Pulchripes,G. Pulchripes,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Grammostola,,pulchripes,,,,Arachnid > Tarantula,Grammostola > pulchripes,"Chaco Golden knee tarantula
 > Grammostola Pulchripes",ARTAR,CHAGK,,,,,,,,,36
Arachnid,Tarantula,,,Orange Baboon Tarantula,,,Orange Baboon Tarantula  ,Pterinochilus murinus,P. murinus,Animalia,Arthropoda,Arachnida,Araneae,Mygalomorphae,,,,Theraphosidae,,,Pterinochilus,,murinus,,,,Arachnid > Tarantula,Pterinochilus > murinus,"Orange Baboon Tarantula
 > Pterinochilus murinus",ARTAR,ORBAB,,,,,,,,,37
Arthropod,Centipede,,,Centipede,,,Centipede  ,,,Animalia,Arthropoda,Chilopoda,,,,,,,,,,,,,,,Arthropod > Centipede,>,"Centipede
 >",ARCEN,CENTI,,,,,,,,,38
Chelonian (Testudines),Tortoise,,,African Spurred Tortoise,Sulcata Tortoise,,African Spurred Tortoise Sulcata Tortoise ,Centrochelys sulcata,,Animalia,Chordata,Reptilia,Testudines,,,,Testudinoidea,Testudinidae,,,Centrochelys,,sulcata,,,,Chelonian (Testudines) > Tortoise,Centrochelys > sulcata,"African Spurred Tortoise
 > Centrochelys sulcata",CHTOR,,,,,,,,,,39
Chelonian (Testudines),Tortoise,,,Radiated Tortoise,,,Radiated Tortoise  ,Astrochelys radiata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Astrochelys,,radiata,,,,Chelonian (Testudines) > Tortoise,Astrochelys > radiata,"Radiated Tortoise
 > Astrochelys radiata",CHTOR,,,,,,,,,,40
Chelonian (Testudines),Tortoise,,,Ploughshare tortoise,,,Ploughshare tortoise  ,Astrochelys yniphora,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Astrochelys,,yniphora,,,,Chelonian (Testudines) > Tortoise,Astrochelys > yniphora,"Ploughshare tortoise
 > Astrochelys yniphora",CHTOR,,,,,,,,,,41
Chelonian (Testudines),Tortoise,,,Red Footed Tortoise,,,Red Footed Tortoise  ,Chelonoidis carbonarius,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,carbonarius,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > carbonarius,"Red Footed Tortoise
 > Chelonoidis carbonarius",CHTOR,,,,,,,,,,42
Chelonian (Testudines),Tortoise,,,Cherry Head Red Footed tortoise,,,Cherry Head Red Footed tortoise  ,Chelonoidis carbonarius,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,carbonarius,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > carbonarius,"Cherry Head Red Footed tortoise
 > Chelonoidis carbonarius",CHTOR,,,,,,,,,,43
Chelonian (Testudines),Tortoise,,,Yellow Footed Tortoise,,,Yellow Footed Tortoise  ,Chelonoidis denticulatus,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,denticulatus,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > denticulatus,"Yellow Footed Tortoise
 > Chelonoidis denticulatus",CHTOR,,,,,,,,,,44
Chelonian (Testudines),Tortoise,,,GALAPAGOS TORTOISE,,,GALAPAGOS TORTOISE  ,Chelonoidis niger,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelonoidis,,niger,,,,Chelonian (Testudines) > Tortoise,Chelonoidis > niger,"GALAPAGOS TORTOISE
 > Chelonoidis niger",CHTOR,,,,,,,,,,45
Chelonian (Testudines),Tortoise,,,Elongated tortoise,,,Elongated tortoise  ,Indotestudo elongata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Indotestudo,,elongata,,,,Chelonian (Testudines) > Tortoise,Indotestudo > elongata,"Elongated tortoise
 > Indotestudo elongata",CHTOR,,,,,,,,,,46
Chelonian (Testudines),Tortoise,,,Leopard Tortoise,,,Leopard Tortoise  ,Stigmochelys pardalis,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Stigmochelys,,pardalis,,,,Chelonian (Testudines) > Tortoise,Stigmochelys > pardalis,"Leopard Tortoise
 > Stigmochelys pardalis",CHTOR,,,,,,,,,,47
Chelonian (Testudines),Tortoise,,,Hermann's tortoise,,,Hermann's tortoise  ,Testudo hermanni,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Testudo,,hermanni,,,,Chelonian (Testudines) > Tortoise,Testudo > hermanni,"Hermann's tortoise
 > Testudo hermanni",CHTOR,,,,,,,,,,48
Chelonian (Testudines),Tortoise,,,Russian tortoise,,,Russian tortoise  ,Testudo horsfieldii,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Testudo,,horsfieldii,,,,Chelonian (Testudines) > Tortoise,Testudo > horsfieldii,"Russian tortoise
 > Testudo horsfieldii",CHTOR,,,,,,,,,,49
Chelonian (Testudines),Tortoise,,,Aldabra Giant Tortoise,,,Aldabra Giant Tortoise  ,Aldabrachelys gigantea,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,,,,,,,Chelonian (Testudines) > Tortoise,>,"Aldabra Giant Tortoise
 > Aldabrachelys gigantea",CHTOR,,,,,,,,,,50
Chelonian (Testudines),Turtle,,,Florida box turtle,,,Florida box turtle  ,Terrapene carolina bauri,Taylor,1895,Chordata,Reptilia,Testudines,,,,,,,,Terrapene,,carolina,,,,Chelonian (Testudines) > Turtle,Terrapene > carolina,"Florida box turtle
 > Terrapene carolina bauri",CHTUR,,,,,,,,,,51
Chelonian (Testudines),Turtle,,,Reeves Turtle ,Chinese Pond Turtle,Chinese three-keeled pond turtle,Reeves Turtle  Chinese Pond Turtle Chinese three-keeled pond turtle,Mauremys reevesii,M. reevesii,Animalia,Chordata,Reptilia,Testudines,,,Cryptodira,Testudinoidea,Geoemydidae,,,Mauremys,,reevesii,,,,Chelonian (Testudines) > Turtle,Mauremys > reevesii,"Reeves Turtle 
 > Mauremys reevesii",CHTUR,,,,,,,,,,52
Chelonian (Testudines),Turtle,,,Florida Softshell,,,Florida Softshell  ,Apalone ferox,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Apalone,,ferox,,,,Chelonian (Testudines) > Turtle,Apalone > ferox,"Florida Softshell
 > Apalone ferox",CHTUR,,,,,,,,,,53
Chelonian (Testudines),Turtle,,,fly river Turtle,,,fly river Turtle  ,Carettochelys insculpta,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Carettochelys,,insculpta,,,,Chelonian (Testudines) > Turtle,Carettochelys > insculpta,"fly river Turtle
 > Carettochelys insculpta",CHTUR,FLYRV,,,,,,,,,54
Chelonian (Testudines),Turtle,,,snake- necked turtle,,,snake- necked turtle  ,Chelodina longicollis,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelodina,,longicollis,,,,Chelonian (Testudines) > Turtle,Chelodina > longicollis,"snake- necked turtle
 > Chelodina longicollis",CHTUR,,,,,,,,,,55
Chelonian (Testudines),Turtle,,,Mata Mata Turtle,,,Mata Mata Turtle  ,Chelus fimbriata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelus,,fimbriata,,,,Chelonian (Testudines) > Turtle,Chelus > fimbriata,"Mata Mata Turtle
 > Chelus fimbriata",CHTUR,,,,,,,,,,56
Chelonian (Testudines),Turtle,,,Chinese Stripe-Necked Turtle,,,Chinese Stripe-Necked Turtle  ,Chelydra serpentina,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelydra,,serpentina,,,,Chelonian (Testudines) > Turtle,Chelydra > serpentina,"Chinese Stripe-Necked Turtle
 > Chelydra serpentina",CHTUR,,,,,,,,,,57
Chelonian (Testudines),Turtle,,,Common Snapping Turtle,,,Common Snapping Turtle  ,Chelydra serpentina,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chelydra,,serpentina,,,,Chelonian (Testudines) > Turtle,Chelydra > serpentina,"Common Snapping Turtle
 > Chelydra serpentina",CHTUR,,,,,,,,,,58
Chelonian (Testudines),Turtle,,,Western Painted turtle,,,Western Painted turtle  ,Chrysemys picta,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Chrysemys,,picta,,,,Chelonian (Testudines) > Turtle,Chrysemys > picta,"Western Painted turtle
 > Chrysemys picta",CHTUR,,,,,,,,,,59
Chelonian (Testudines),Turtle,,,Spotted Turtle,,,Spotted Turtle  ,Clemmys guttata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Clemmys,,guttata,,,,Chelonian (Testudines) > Turtle,Clemmys > guttata,"Spotted Turtle
 > Clemmys guttata",CHTUR,,,,,,,,,,60
Chelonian (Testudines),Turtle,,,Amboina Box Turtle,,,Amboina Box Turtle  ,Cuora amboinensis,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Cuora,,amboinensis,,,,Chelonian (Testudines) > Turtle,Cuora > amboinensis,"Amboina Box Turtle
 > Cuora amboinensis",CHTUR,,,,,,,,,,61
Chelonian (Testudines),Turtle,,,Bourrets box turtle,,,Bourrets box turtle  ,Cuora bourreti,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Cuora,,bourreti,,,,Chelonian (Testudines) > Turtle,Cuora > bourreti,"Bourrets box turtle
 > Cuora bourreti",CHTUR,,,,,,,,,,62
Chelonian (Testudines),Turtle,,,Chinese box turtle,,,Chinese box turtle  ,Cuora flavomarginata,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Cuora,,flavomarginata,,,,Chelonian (Testudines) > Turtle,Cuora > flavomarginata,"Chinese box turtle
 > Cuora flavomarginata",CHTUR,,,,,,,,,,63
Chelonian (Testudines),Turtle,,,Flower back box turtule,,,Flower back box turtule  ,Cuora galbinifrons,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Cuora,,galbinifrons,,,,Chelonian (Testudines) > Turtle,Cuora > galbinifrons,"Flower back box turtule
 > Cuora galbinifrons",CHTUR,,,,,,,,,,64
Chelonian (Testudines),Turtle,,,Keeled box turtle,,,Keeled box turtle  ,Cuora mouhotii,,Animalia,Chordata,Reptilia,Testudines,,,,,,,,Cuora,,mouhotii,,,,Chelonian (Testudines) > Turtle,Cuora > mouhotii,"Keeled box turtle
 > Cuora mouhotii",CHTUR,,,,,,,,,,65
